gender|NOMINATIVE,SINGULAR|NOMINATIVE,PLURAL|ACCUSATIVE,SINGULAR|ACCUSATIVE,PLURAL|GENITIVE,SINGULAR|GENITIVE,PLURAL
MASCULINE|ός|οί|ό|οί|ό|ών
MASCULINE|ος|οι|ο|ους|ου|ων
MASCULINE|ής|ές|ή|ές|ή|ών
MASCULINE|ης|ες|η|ες|η|ων
MASCULINE|ης|ηδες|η|ηδες|η|ηδων
MASCULINE|ας|ες|α|ες|α|ων
MASCULINE|άς|άδες|ά|άδες|ά|άδων
MASCULINE|ές|έδες|έ|έδες|έ|έδων
MASCULINE|ούς|ούδες|ού|ούδες|ού|ούδων
FEMININE|ά|ές|ά|ές|άς|ών
FEMININE|α|ες|α|ες|ας|ων
FEMININE|ά|άδες|ά|άδες|άς|άδων
FEMININE|ή|ές|ή|ές|ής|ών
FEMININE|η|ες|η|ες|ης|ων
FEMININE|η|εις|η|εις|ης|εων
FEMININE|ος|οι|ο|ους|ου|ων
FEMININE|ού|ούδες|ού|ούδες|ούς|ούδων
NEUTER|ό|ά|ό|ά|ού|ών
NEUTER|ο|α|ο|α|ου|ων
NEUTER|ί|ιά|ί|ιά|ιού|ιών
NEUTER|ι|ια|ι|ια|ιού|ιών
NEUTER|ος|η|ος|η|ους|ών
NEUTER|ώς|ώτα|ώς|ώτα|ωτάς|ώτων
NEUTER|ας|ατα|ας|ατα|ατος|άτων
NEUTER|μα|ματα|μα|ματα|ματος|μάτων
NEUTER|σιμο|σιματα|σιμο|σιματα|σίματος|σιμάτων
